-100.17	-100.22	-100.27	-100.3	-100.29	-100.28	-100.28	-100.29	-100.26	-100.2	-100.15
-100.17	-100.21	-100.27	-100.29	-100.29	-100.27	-100.28	-100.28	-100.25	-100.19	-100.15
-100.15	-100.2	-100.25	-100.28	-100.27	-100.26	-100.27	-100.26	-100.23	-100.17	-100.13
-100.13	-100.17	-100.21	-100.24	-100.24	-100.24	-100.24	-100.22	-100.19	-100.14	-100.09
-100.1	-100.14	-100.17	-100.2	-100.21	-100.21	-100.2	-100.17	-100.13	-100.09	-100.06
-100.09	-100.12	-100.15	-100.17	-100.19	-100.19	-100.17	-100.14	-100.1	-100.06	-100.02
-100.08	-100.12	-100.15	-100.17	-100.18	-100.17	-100.15	-100.11	-100.07	-100.04	-100
-100.09	-100.13	-100.17	-100.18	-100.18	-100.16	-100.13	-100.1	-100.06	-100.02	-99.98
-100.1	-100.14	-100.19	-100.2	-100.18	-100.15	-100.12	-100.09	-100.05	-100.01	-99.97
-100.11	-100.15	-100.2	-100.21	-100.19	-100.15	-100.12	-100.08	-100.05	-100.01	-99.97
-100.11	-100.15	-100.2	-100.21	-100.18	-100.15	-100.11	-100.08	-100.05	-100	-99.97
