# Radius   VignetteFraction
0.0 1.0
0.02 1.0
0.04 1.0
0.06 1.0
0.08 1.0
0.1 1.0
0.12 1.0
0.14 1.0
0.16 1.0
0.18 1.0
0.2 1.0
0.22 1.0
0.24 1.0
0.26 1.0
0.28 1.0
0.3 1.0
0.32 1.0
0.34 1.0
0.36 1.0
0.38 1.0
0.4 1.0
0.42 1.0
0.44 1.0
0.46 1.0
0.48 1.0
0.5 1.0
0.52 1.0
0.54 1.0
0.56 1.0
0.58 1.0
0.6 1.0
0.62 1.0
0.64 1.0
0.66 0.999899019851
0.68 0.999798039703
0.7 0.999594476546
0.72 0.999289933241
0.74 0.999087972944
0.76 0.998581469341
0.78 0.997770422434
0.8 0.997566859277
0.82 0.996755812369
0.84 0.996451269064
0.86 0.995843785313
0.88 0.995438261859
0.9 0.994829175249
0.92 0.99411910849
0.94 0.993713585036
0.96 0.992801557979
0.98 0.992497014674
1.0 0.991584987618
1.02 0.991078484015
1.04 0.990672960562
1.06 0.989759330646
1.08 0.989151846895
1.1 0.988542760284
1.12 0.987630733228
1.14 0.986616123164
1.16 0.98550213581
1.18 0.984487525746
1.2 0.983169975236
1.22 0.981648861569
1.24 0.980331311059
1.26 0.978709217244
1.28 0.977289083725
1.3 0.976072513364
1.32 0.974652379846
1.34 0.972929305882
1.36 0.970800708464
1.38 0.969685118251
1.4 0.96775848113
1.42 0.966136387315
1.44 0.963602266443
1.46 0.961066542712
1.48 0.958734382138
1.5 0.954780127748
1.52 0.952550550182
1.54 0.949609302997
1.56 0.946669658671
1.58 0.943324490892
1.6 0.939775759956
1.62 0.936529969466
1.64 0.933083821538
1.66 0.929839633907
1.68 0.926492863268
1.7 0.923349655786
1.72 0.918989877942
1.74 0.91452911995
1.76 0.903579986696
1.78 0.874074548995
1.8 0.835750178318
1.82 0.789820239307
1.84 0.73831555495
1.86 0.688532341698
1.88 0.649092380807
1.9 0.614012197761
1.92 0.570922525786
1.94 0.508364522308
1.96 0.448443222709
1.98 0.387609896055
2.0 0.323735944926
