# Wavelength Temperature Relative_QE
1000.0 -96.55 1.02356036716
1000.0 -96.15 1.02563981384
1003.0 -95.95 1.02949418754
1008.0 -95.85 1.03470621264
1011.0 -95.75 1.0346446982
1016.0 -95.65 1.03561086165
1020.0 -95.55 1.03798037897
1023.0 -95.35 1.05068558909
1028.0 -95.25 1.05154202335
1032.0 -95.05 1.06777669636
1036.0 -94.95 1.07701908964
1040.0 -94.85 1.07002325564
1043.0 -94.75 1.07084356503
1048.0 -94.55 1.08389315951
1051.0 -94.45 1.08727770951
1056.0 -94.45 1.09742302472
1060.0 -94.25 1.09654587269
1063.0 -94.15 1.11342521355
1068.0 -93.95 1.11855775598
1072.0 -93.85 1.13460006174
1076.0 -93.65 1.14059402953
1080.0 -93.55 1.15104538025
1084.0 -93.25 1.16875276911
1088.0 -93.15 1.18771399981
1092.0 -93.05 1.19745678809
1096.0 -92.85 1.20407362992
1100.0 -92.65 1.20913791632
850.0 -92.25 1.00056148569
860.0 -92.15 1.00094267868
870.0 -92.15 1.0057059199
880.0 -92.05 1.0124150143
889.0 -91.95 1.01431753228
900.0 -91.95 1.01436466724
910.0 -91.75 1.00813403956
920.0 -91.65 1.01009072158
930.0 -91.65 1.01470650888
939.0 -91.55 1.02278224116
950.0 -91.45 1.02497958989
960.0 -91.45 1.02939037564
970.0 -91.25 1.0297786458
980.0 -91.15 1.03896572731
989.0 -91.15 1.0488266755
1000.0 -91.05 1.06151026904
1000.0 -90.75 1.06259725253
1003.0 -90.75 1.06302013388
1008.0 -90.65 1.07236173664
1011.0 -90.55 1.07971213392
1016.0 -90.45 1.08230170463
1020.0 -90.45 1.09109631932
1023.0 -90.35 1.09795797075
1028.0 -90.25 1.11131365484
1032.0 -90.25 1.13994327492
1036.0 -90.15 1.16021887536
1040.0 -90.05 1.13778781642
1043.0 -89.95 1.14394496411
1048.0 -89.85 1.15819880085
1051.0 -89.85 1.17032830958
1056.0 -89.65 1.1809878667
1060.0 -89.55 1.18331212182
1063.0 -89.55 1.19385783241
1068.0 -89.35 1.21150842061
1072.0 -89.35 1.23277094611
1076.0 -89.25 1.23639161667
1080.0 -89.15 1.25475235583
1084.0 -89.05 1.27613677058
1088.0 -88.95 1.29851286438
1092.0 -88.85 1.30544908807
1096.0 -88.65 1.31101272064
1100.0 -88.65 1.31605998198
850.0 -84.05 1.00130946602
854.0 -84.05 1.00131569047
858.0 -84.05 0.992533944767
862.0 -84.05 0.997460293943
866.0 -83.95 1.00493903766
870.0 -83.95 1.00677132815
874.0 -83.95 1.00796029779
878.0 -83.95 1.00865637341
882.0 -83.95 1.01248221299
